Response_ID,Respondent_ID,Consume_frequency_index,Consume_time_index,Consume_reason_index,Heard_before_index,Brand_perception_index,General_perception_index,Tried_before_index,Taste_experience,Reasons_preventing_trying_index,Current_brands_index,Reasons_for_choosing_brands_index,Improvements_desired_index,Ingredients_expected_index,Health_concerns_index,Interest_in_natural_or_organic,Marketing_channels_index,Packaging_preference=index,Limited_edition_packaging_index,Price_range_index,Purchase_location_index,Typical_consumption_situations_index,,,,,
103001,120031,1,1,1,1,1,1,2,5,1,1,1,1,1,2,1,1,1,1,1,1,1,,,,,
103002,120032,2,2,2,2,1,1,2,5,2,2,1,2,2,1,2,2,1,3,1,1,2,,,,,
103003,120033,3,3,1,2,1,1,2,2,3,2,1,2,2,2,1,3,2,2,2,1,1,,,,,
103004,120034,1,1,2,2,2,2,1,5,4,2,2,3,2,2,1,3,1,3,3,1,2,,,,,
103005,120035,4,1,1,1,1,3,1,5,4,3,2,2,2,1,1,3,1,1,2,2,1,,,,,
103006,120036,3,4,3,1,3,1,2,5,5,4,1,4,3,1,1,1,3,1,3,3,3,,,,,
103007,120037,2,1,1,2,2,1,2,4,5,4,3,3,1,1,2,3,2,1,2,4,2,,,,,
103008,120038,3,3,3,2,1,4,1,4,1,5,3,1,4,1,2,3,1,1,1,3,3,,,,,
103009,120039,5,1,4,2,1,3,1,3,3,5,1,1,4,2,1,4,2,3,2,4,2,,,,,
103010,120040,5,4,3,1,1,4,2,4,2,3,4,3,2,2,1,4,3,2,1,3,3,,,,,
103011,120041,1,3,3,2,3,4,1,5,2,6,2,1,1,1,1,3,1,1,1,1,2,,,,,
103012,120042,3,1,3,1,1,2,2,2,3,7,4,1,2,1,1,3,3,1,2,2,3,,,,,
103013,120043,1,3,4,2,1,4,1,4,3,5,5,2,2,1,2,3,2,3,1,3,1,,,,,
103014,120044,1,4,3,2,1,4,2,5,5,7,3,1,3,1,1,4,2,3,1,2,2,,,,,
103015,120045,1,1,1,2,2,4,1,5,2,2,1,5,4,1,1,5,1,1,3,1,3,,,,,
103016,120046,4,3,1,2,1,3,1,3,3,2,3,3,2,1,1,3,1,1,3,1,1,,,,,
